s3 uri,guest_name,job_name,language_code,vocab_name,categories,channel_identification,max_speakers,show_pii,show_transcript
s3://pse-audio-files/EFRL-1991-10-12-1.mp3,unknown,EFRL-1991-10-12-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-10-19-1.mp3,unknown,EFRL-1991-10-19-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-10-26-1.mp3,unknown,EFRL-1991-10-26-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-11-02-1.mp3,unknown,EFRL-1991-11-02-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-11-09-1.mp3,unknown,EFRL-1991-11-09-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-11-16-1.mp3,unknown,EFRL-1991-11-16-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-11-23-1.mp3,unknown,EFRL-1991-11-23-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-11-30-1.mp3,unknown,EFRL-1991-11-30-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-12-07-1.mp3,unknown,EFRL-1991-12-07-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-12-14-1.mp3,unknown,EFRL-1991-12-14-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-12-21-1.mp3,unknown,EFRL-1991-12-21-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1991-12-28-1.mp3,unknown,EFRL-1991-12-28-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1992-01-04-1.mp3,unknown,EFRL-1992-01-04-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1992-01-11-1.mp3,unknown,EFRL-1992-01-11-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1992-01-18-1.mp3,unknown,EFRL-1992-01-18-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1992-01-25-1.mp3,unknown,EFRL-1992-01-25-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1992-02-01-1.mp3,unknown,EFRL-1992-02-01-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1992-02-08-1.mp3,unknown,EFRL-1992-02-08-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1992-02-15-1.mp3,unknown,EFRL-1992-02-15-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1992-02-22-1.mp3,unknown,EFRL-1992-02-22-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1992-02-29-1.mp3,unknown,EFRL-1992-02-29-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1992-03-07-1.mp3,unknown,EFRL-1992-03-07-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1992-03-14-1.mp3,unknown,EFRL-1992-03-14-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1992-03-21-1.mp3,unknown,EFRL-1992-03-21-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1992-03-28-1.mp3,unknown,EFRL-1992-03-28-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1992-04-04-1.mp3,unknown,EFRL-1992-04-04-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
s3://pse-audio-files/EFRL-1992-04-11-1.mp3,unknown,EFRL-1992-04-11-1,en-US,EFLive-vocab,test-categories,FALSE,10,FALSE,FALSE
